time,cpu,mem
1575001090.8679147,14.0,12.5
1575001091.86917,13.1,12.5
1575001092.8704574,5.9,12.5
1575001093.872526,2.3,12.5
1575001094.873381,11.8,12.5
1575001095.8746736,38.0,12.4
1575001096.875971,29.4,12.3
1575001097.8772964,29.9,12.3
1575001098.8785563,30.0,12.3
1575001099.879846,30.0,12.3
1575001100.8811312,29.6,12.3
1575001101.8824513,14.5,12.6
1575001102.8842223,2.5,12.6
1575001103.8859096,1.5,12.6
1575001104.8876462,16.4,12.8
1575001105.8888793,22.1,15.7
1575001106.8901072,27.0,15.9
1575001107.8906596,38.0,15.9
1575001108.8919168,36.9,15.9
1575001109.8932312,37.9,15.9
1575001110.89449,40.4,15.9
1575001111.895756,39.1,15.9
1575001112.8970518,40.0,15.9
1575001113.8983257,41.9,15.9
1575001114.8986607,40.7,15.9
1575001115.8998818,40.0,15.9
1575001116.9011817,39.1,15.9
1575001117.902475,39.9,15.9
1575001118.9037285,32.9,15.9
1575001119.9045603,24.7,12.3
1575001120.9056673,24.2,12.3
1575001121.9066954,21.2,12.3
1575001122.9072082,21.5,12.3
1575001123.908531,21.7,12.3
1575001124.9098263,22.2,12.3
1575001125.9107273,20.3,12.3
1575001126.912085,22.3,12.3
1575001127.912446,23.3,12.7
1575001128.9137838,31.6,12.5
1575001129.9154856,20.1,12.6
1575001130.9168131,22.6,13.1
1575001131.9181204,6.9,13.1
1575001132.9198408,4.0,13.1
1575001133.921543,8.6,15.8
1575001134.9226658,17.8,16.1
1575001135.9239938,35.7,16.1
1575001136.9252458,36.2,16.0
1575001137.9265907,35.5,16.0
1575001138.9279587,37.7,16.0
1575001139.9293354,37.9,16.0
1575001140.9306662,38.9,16.0
1575001141.9319737,37.5,16.1
1575001142.9332182,37.1,16.0
1575001143.934459,37.5,16.1
1575001144.935761,37.0,16.0
1575001145.9370322,36.3,16.0
1575001146.9383752,35.6,16.0
1575001147.9386706,37.9,16.1
1575001148.940043,25.2,12.3
1575001149.9413104,16.5,12.5
1575001150.9425807,15.2,12.5
1575001151.9438975,14.1,12.5
1575001152.945133,14.7,12.5
1575001153.94549,14.0,12.5
1575001154.9467738,14.6,12.5
1575001155.9480903,13.0,12.5
1575001156.9497676,1.8,12.5
1575001157.9515078,2.3,12.5
1575001158.9531682,29.6,12.5
1575001159.954559,33.1,12.3
1575001160.955867,30.5,12.3
1575001161.9571335,30.4,12.3
1575001162.9584093,30.3,12.3
1575001163.9597452,29.9,12.3
1575001164.9611118,25.3,12.5
1575001165.9624348,4.4,12.5
1575001166.964222,2.5,12.5
1575001167.965952,1.9,12.5
1575001168.9676242,16.5,12.6
1575001169.9689171,22.4,15.6
1575001170.9702349,27.4,16.0
1575001171.9706757,40.6,16.1
1575001172.9719563,40.4,16.0
1575001173.9732633,38.1,16.0
1575001174.9745827,38.6,16.0
1575001175.975888,39.9,16.0
1575001176.9771469,36.9,16.0
1575001177.9784079,36.9,16.0
1575001178.9786623,39.1,16.0
1575001179.9799519,40.4,16.0
1575001180.9812555,39.5,16.0
1575001181.9825149,38.3,16.0
1575001182.9837708,35.3,16.0
1575001183.984674,23.4,12.4
1575001184.9857292,22.9,12.4
1575001185.9867017,21.5,12.4
1575001186.987977,21.7,12.4
1575001187.9892588,20.4,12.4
1575001188.9905787,22.5,12.4
1575001189.9919472,21.8,12.4
1575001190.9932256,22.5,12.4
1575001191.9935825,24.2,12.7
1575001192.994745,24.4,12.6
1575001193.9964304,15.6,12.7
1575001194.9976976,23.7,13.0
1575001195.9989932,8.6,13.2
1575001197.0008113,3.4,13.2
1575001198.0026722,1.3,13.2
1575001199.0043824,11.3,15.9
1575001200.00561,31.9,16.2
1575001201.0066652,49.4,16.4
1575001202.0079782,47.3,16.3
1575001203.0093236,39.2,16.3
1575001204.010595,37.8,16.3
1575001205.011875,38.2,16.3
1575001206.0132558,37.0,16.3
1575001207.014624,38.9,16.3
1575001208.0159523,34.0,16.3
1575001209.0173047,35.7,16.3
1575001210.018668,37.1,16.2
1575001211.0199592,36.8,16.2
1575001212.021204,37.5,16.2
1575001213.0225492,37.3,16.1
1575001214.0238347,34.6,16.2
1575001215.0251284,19.1,12.7
1575001216.0267923,17.3,12.6
1575001217.028107,14.3,12.6
1575001218.029365,16.2,12.6
1575001219.030629,14.1,12.6
1575001220.0319448,15.9,12.6
1575001221.0332541,13.4,12.6
1575001222.0346112,10.1,12.6
1575001223.0363362,2.6,12.6
1575001224.0382648,2.9,12.6
1575001225.0401855,39.2,12.6
1575001226.041571,29.8,12.4
