iteration,docker start,docker end,execution start,execution end
69,1575005377.7847908,1575005428.4463055,1575005428.4463065,1575005443.2516055
70,1575005444.336119,1575005495.1473668,1575005495.1473842,1575005510.0007703
71,1575005511.1107857,1575005562.3016295,1575005562.3016305,1575005577.0756803
72,1575005578.1643984,1575005629.4168606,1575005629.4168618,1575005644.3245168
73,1575005645.4295156,1575005695.9263341,1575005695.9263353,1575005710.7764618
74,1575005711.8945386,1575005763.281204,1575005763.2812057,1575005777.9394615
75,1575005778.9654753,1575005830.2798176,1575005830.2798183,1575005845.702336
76,1575005846.8021972,1575005897.9094813,1575005897.9094834,1575005912.6252432
77,1575005913.7326834,1575005965.6195364,1575005965.619538,1575005980.4229896
78,1575005981.503328,1575006033.6217752,1575006033.6217759,1575006048.4268248
79,1575006049.4868677,1575006101.6868534,1575006101.686855,1575006116.5328708
80,1575006117.6275787,1575006168.7717557,1575006168.7717566,1575006183.6298127
81,1575006184.7190006,1575006235.582685,1575006235.582687,1575006250.9909923
82,1575006252.072817,1575006301.991373,1575006301.9913738,1575006316.634469
83,1575006317.6962821,1575006367.6707847,1575006367.670786,1575006382.2845292
84,1575006383.3270473,1575006433.6278305,1575006433.627833,1575006448.2885902
