time,cpu,mem
1574977697.6857119-[59.3, 8.3, 8.3, 17.9, 11.5, 45.8, 8.0, 19.2]-svmem(total=16609853440, available=14070489088, percent=15.3, used=1964544000, free=12377235456, active=2370998272, inactive=1156612096, buffers=154456064, cached=2113617920, shared=284495872, slab=349696000)-
1574977697.9363232-[4.0, 14.3, 8.0, 3.8, 72.0, 26.9, 4.0, 4.0]-svmem(total=16609853440, available=14068723712, percent=15.3, used=1966309376, free=12375478272, active=2371743744, inactive=1156603904, buffers=154456064, cached=2113609728, shared=284495872, slab=349696000)-
1574977698.1868644-[11.1, 30.8, 4.0, 8.0, 20.0, 8.0, 4.0, 60.0]-svmem(total=16609853440, available=14069436416, percent=15.3, used=1965584384, free=12376195072, active=2368909312, inactive=1156595712, buffers=154456064, cached=2113617920, shared=284508160, slab=349700096)-
1574977698.4373734-[17.2, 75.0, 14.3, 0.0, 26.9, 0.0, 22.2, 4.0]-svmem(total=16609853440, available=14070865920, percent=15.3, used=1964789760, free=12377608192, active=2368831488, inactive=1156599808, buffers=154456064, cached=2112999424, shared=283873280, slab=349691904)-
1574977698.6880977-[7.7, 4.0, 44.4, 3.8, 58.3, 7.7, 4.0, 12.0]-svmem(total=16609853440, available=14070009856, percent=15.3, used=1965645824, free=12376760320, active=2370379776, inactive=1156591616, buffers=154456064, cached=2112991232, shared=283873280, slab=349691904)-
1574977698.938632-[24.1, 10.7, 32.0, 4.0, 3.8, 0.0, 58.3, 8.3]-svmem(total=16609853440, available=14077612032, percent=15.2, used=1958043648, free=12384362496, active=2363248640, inactive=1156591616, buffers=154456064, cached=2112991232, shared=283873280, slab=349691904)-
1574977699.1894166-[11.5, 18.5, 11.5, 41.7, 8.0, 24.0, 11.5, 61.5]-svmem(total=16609853440, available=14069284864, percent=15.3, used=1966370816, free=12376027136, active=2372173824, inactive=1156599808, buffers=154456064, cached=2112999424, shared=283873280, slab=349675520)-
1574977699.4401188-[20.7, 18.5, 91.7, 7.4, 7.7, 12.0, 7.7, 12.0]-svmem(total=16609853440, available=14077206528, percent=15.2, used=1966968832, free=12383911936, active=2372337664, inactive=1156509696, buffers=154456064, cached=2104516608, shared=275353600, slab=349708288)-
1574977699.690857-[7.7, 8.0, 11.1, 88.0, 3.8, 4.0, 0.0, 0.0]-svmem(total=16609853440, available=14087905280, percent=15.2, used=1957335040, free=12394610688, active=2362380288, inactive=1155444736, buffers=154456064, cached=2103451648, shared=274288640, slab=349724672)-
1574977699.941394-[31.0, 84.0, 8.7, 28.6, 11.5, 4.3, 8.3, 12.5]-svmem(total=16609853440, available=14089207808, percent=15.2, used=1956564992, free=12395913216, active=2363957248, inactive=1154912256, buffers=154456064, cached=2102919168, shared=273756160, slab=349724672)-
1574977700.1919663-[7.7, 0.0, 4.0, 92.0, 3.8, 15.4, 3.8, 8.3]-svmem(total=16609853440, available=14090625024, percent=15.2, used=1955418112, free=12397322240, active=2363056128, inactive=1154629632, buffers=154456064, cached=2102657024, shared=273485824, slab=349749248)-
1574977700.442578-[32.1, 16.0, 24.0, 16.7, 26.1, 96.2, 13.0, 40.0]-svmem(total=16609853440, available=14082359296, percent=15.2, used=1963683840, free=12389064704, active=2368180224, inactive=1154621440, buffers=154456064, cached=2102648832, shared=273485824, slab=349741056)-
1574977700.6932082-[20.0, 0.0, 4.0, 0.0, 50.0, 48.0, 7.7, 12.0]-svmem(total=16609853440, available=14081421312, percent=15.2, used=1964621824, free=12388114432, active=2370945024, inactive=1154633728, buffers=154456064, cached=2102661120, shared=273485824, slab=349691904)-
1574977700.943833-[17.9, 11.5, 75.0, 14.8, 28.0, 4.2, 0.0, 13.0]-svmem(total=16609853440, available=14080638976, percent=15.2, used=1965404160, free=12387340288, active=2370633728, inactive=1154625536, buffers=154456064, cached=2102652928, shared=273485824, slab=349691904)-
1574977701.19464-[20.7, 37.0, 16.0, 11.5, 11.5, 4.2, 88.0, 4.2]-svmem(total=16609853440, available=14080131072, percent=15.2, used=1965912064, free=12386832384, active=2371612672, inactive=1154625536, buffers=154456064, cached=2102652928, shared=273485824, slab=349691904)-
1574977701.445319-[65.4, 45.8, 17.4, 16.7, 16.7, 28.0, 75.0, 16.7]-svmem(total=16609853440, available=14081785856, percent=15.2, used=1963999232, free=12388487168, active=2370863104, inactive=1154887680, buffers=154456064, cached=2102910976, shared=273743872, slab=349691904)-
1574977701.696207-[48.4, 80.0, 60.0, 22.2, 24.0, 13.0, 17.4, 16.7]-svmem(total=16609853440, available=14077501440, percent=15.2, used=1967484928, free=12384202752, active=2374967296, inactive=1155420160, buffers=154456064, cached=2103709696, shared=274276352, slab=349691904)-
1574977701.946951-[50.0, 17.2, 8.0, 0.0, 4.0, 0.0, 0.0, 52.0]-svmem(total=16609853440, available=14075486208, percent=15.3, used=1969463296, free=12382171136, active=2377494528, inactive=1155735552, buffers=154456064, cached=2103762944, shared=274579456, slab=349700096)-
1574977702.1975234-[20.7, 73.1, 17.9, 12.0, 11.5, 19.2, 7.7, 26.9]-svmem(total=16609853440, available=14086189056, percent=15.2, used=1959026688, free=12392882176, active=2366582784, inactive=1155457024, buffers=154456064, cached=2103488512, shared=274313216, slab=349745152)-
1574977702.4483173-[11.1, 7.7, 4.0, 7.7, 7.7, 11.5, 4.0, 96.0]-svmem(total=16609853440, available=14075912192, percent=15.3, used=1969725440, free=12382597120, active=2376773632, inactive=1155035136, buffers=154464256, cached=2103066624, shared=273891328, slab=349761536)-
1574977702.6988897-[19.4, 48.0, 4.0, 3.8, 7.4, 11.5, 0.0, 52.0]-svmem(total=16609853440, available=14076485632, percent=15.3, used=1971249152, free=12383162368, active=2377986048, inactive=1152946176, buffers=154464256, cached=2100977664, shared=271794176, slab=349786112)-
1574977702.9495835-[76.9, 35.7, 11.5, 8.0, 4.3, 16.0, 0.0, 4.2]-svmem(total=16609853440, available=14076014592, percent=15.3, used=1971720192, free=12382699520, active=2377494528, inactive=1152937984, buffers=154464256, cached=2100969472, shared=271794176, slab=349745152)-
1574977703.2003484-[48.0, 12.5, 30.3, 56.5, 4.3, 4.3, 4.3, 16.0]-svmem(total=16609853440, available=14077026304, percent=15.2, used=1970708480, free=12383711232, active=2376257536, inactive=1152937984, buffers=154464256, cached=2100969472, shared=271794176, slab=349736960)-
1574977703.4510567-[18.5, 7.7, 18.5, 96.2, 8.3, 4.2, 4.2, 0.0]-svmem(total=16609853440, available=14079406080, percent=15.2, used=1969197056, free=12386091008, active=2373976064, inactive=1152135168, buffers=154464256, cached=2100101120, shared=270925824, slab=349736960)-
1574977703.7017803-[20.0, 12.0, 87.5, 20.0, 8.0, 8.3, 8.0, 16.0]-svmem(total=16609853440, available=14077349888, percent=15.2, used=1971171328, free=12384034816, active=2377252864, inactive=1152192512, buffers=154464256, cached=2100183040, shared=271007744, slab=349736960)-
1574977703.952785-[34.4, 95.7, 11.5, 4.0, 7.7, 7.7, 4.0, 4.0]-svmem(total=16609853440, available=14077390848, percent=15.2, used=1971130368, free=12384075776, active=2377359360, inactive=1152192512, buffers=154464256, cached=2100183040, shared=271007744, slab=349745152)-
1574977704.2034688-[28.1, 26.9, 8.0, 4.3, 8.3, 16.0, 88.5, 8.3]-svmem(total=16609853440, available=14076743680, percent=15.3, used=1971535872, free=12383428608, active=2377326592, inactive=1152208896, buffers=154464256, cached=2100424704, shared=271249408, slab=349736960)-
1574977704.4541206-[76.0, 17.9, 14.3, 20.0, 0.0, 4.2, 25.0, 3.8]-svmem(total=16609853440, available=14086934528, percent=15.2, used=1961345024, free=12393619456, active=2367057920, inactive=1152208896, buffers=154464256, cached=2100424704, shared=271249408, slab=349736960)-
1574977704.7049184-[17.2, 8.0, 11.1, 11.5, 8.0, 11.1, 8.0, 100.0]-svmem(total=16609853440, available=14074605568, percent=15.3, used=1973575680, free=12381282304, active=2379456512, inactive=1152278528, buffers=154464256, cached=2100531200, shared=271347712, slab=349728768)-
1574977704.9556174-[14.8, 14.3, 91.7, 4.2, 12.0, 19.2, 7.7, 12.5]-svmem(total=16609853440, available=14074224640, percent=15.3, used=1973850112, free=12380897280, active=2380664832, inactive=1152405504, buffers=154464256, cached=2100641792, shared=271454208, slab=349728768)-
1574977705.2062676-[14.3, 11.5, 37.5, 69.2, 14.8, 7.7, 4.0, 14.8]-svmem(total=16609853440, available=14072115200, percent=15.3, used=1976074240, free=12378787840, active=2381832192, inactive=1152290816, buffers=154464256, cached=2100527104, shared=271339520, slab=349736960)-
1574977705.4567752-[10.7, 4.0, 15.4, 96.0, 0.0, 11.5, 7.7, 0.0]-svmem(total=16609853440, available=14082048000, percent=15.2, used=1966043136, free=12388720640, active=2371969024, inactive=1152290816, buffers=154464256, cached=2100625408, shared=271437824, slab=349736960)-
1574977705.7073548-[26.7, 11.1, 68.0, 7.7, 4.0, 0.0, 40.0, 0.0]-svmem(total=16609853440, available=14072283136, percent=15.3, used=1975808000, free=12378955776, active=2381172736, inactive=1152290816, buffers=154464256, cached=2100625408, shared=271437824, slab=349769728)-
1574977705.9579246-[4.0, 8.0, 54.2, 7.7, 8.0, 46.2, 7.7, 4.0]-svmem(total=16609853440, available=14070591488, percent=15.3, used=1976393728, free=12378279936, active=2383540224, inactive=1151336448, buffers=154464256, cached=2100715520, shared=271536128, slab=349777920)-
1574977706.2085612-[66.7, 14.8, 37.0, 8.0, 15.4, 12.0, 7.7, 12.5]-svmem(total=16609853440, available=14070984704, percent=15.3, used=1976635392, free=12378558464, active=2383446016, inactive=1151139840, buffers=154464256, cached=2100195328, shared=271007744, slab=349753344)-
1574977706.459116-[11.1, 7.7, 15.4, 64.0, 38.5, 8.7, 15.4, 8.0]-svmem(total=16609853440, available=14078681088, percent=15.2, used=1973276672, free=12386254848, active=2379857920, inactive=1147678720, buffers=154464256, cached=2095857664, shared=266670080, slab=349720576)-
